"Item Name
","Size
","Order
Qty","Rcvd
Qty","Cost
","Extended
Cost"
"Mountain Dew, Kick Start Fruit Punch",CASE (12  1 Each),1,1,12,12
"Mountain Dew, Kick Start Pinapple Orange Mango",CASE (12  1 Each),1,1,12,12
"Mountain Dew, Kick Start, Orange",CASE (12  1 Each),1,1,12,12
,,,,,
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Naked 15.2oz, Berry Blast",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Green Machine",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Kale Blazer",Case (8  1 Each),2,2,21.2,42.4
"Naked 15.2oz, Mighty Mango",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Orange Carrot",Case (8  1 Each),2,2,18.24,36.48
"Naked 15.2oz, Straw Banana",Case (8  1 Each),2,2,18.24,36.48
"Tropicana 12oz, Apple Juice",CASE (12  1 Each),3,3,15.48,46.44
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2,2,15.48,30.96
,,,,,
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Bubly Cherry 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Bubly Lime 8pks",CASE (3  8 Each),2,2,9,18
"12oz, Diet Dr Pepper 12packs",CASE (2  1 Each),1,1,9,9
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),1,1,9,9
"12oz, Dr Pepper 12packs",CASE (2  1 Each),2,2,9,18
"12oz, Mountain Dew 12packs",CASE (2  1 Each),1,1,9,9
"12oz, Pepsi 12packs",CASE (2  1 Each),2,2,9,18
"20oz, Pepsi",CASE (24  1 Each),1,1,19,19
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),3,3,19,57
"Bundaberg, Ginger Beer",CASE (24  1 Each),2,2,31.82,63.64
"Kevita, Ginger",CASE (12  1 Each),1,1,13.5,13.5
"Kevita, Mojita",CASE (12  1 Each),1,1,13.5,13.5
"Kevita, Pinapple Peach",CASE (12  1 Each),1,1,13.5,13.5
"Kevita, Raspberry Lemon",CASE (12  1 Each),1,1,13.5,13.5
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),2,2,19.09,38.18
"Pure Leaf Tea, Extra Sweet",CASE (12  1 Each),3,3,14.58,43.74
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),2,2,14.58,29.16
,,,,,
Aquafina 1 Liter,CASE (12  1 Each),4,4,14.31,57.24
Aquafina 16.9oz,CASE (24  1 Each),2,2,6,12
"Bubly 16oz, Blackberry",CASE (12  1 Each),3,3,9,27
"Bubly 16oz, Cherry",CASE (12  1 Each),3,3,9,27
"Bubly 16oz, Grapefruit",CASE (12  1 Each),3,3,9,27
"Bubly 16oz, Lime",CASE (12  1 Each),3,3,9,27
"Bubly 16oz, Strawberry",CASE (12  1 Each),3,3,9,27
,,,,,
,,,,,
"Starbucks, Frappuccino, Mocha",CASE (12  1 Each),2,2,24,48
"Starbucks, Frappuccino, Toasted White Chocolate",CASE (12  1 Each),1,1,24,24
"Starbucks, Nitro, Black",CASE (12  1 Each),2,2,28,56
"Starbucks, Nitro, Dark Caramel",CASE (12  1 Each),2,2,28,56
"Starbucks, Nitro, Vanilla Sweet Cream",CASE (12  1 Each),2,2,28,56
"Starbucks, small, Double shot Espresso and Cream",CASE (12  1 Each),4,4,23.94,95.76
,,,,,
"Gatorade 20oz, Cool Blue",CASE (24  1 Each),1,1,18,18
"Gatorade 20oz, Glacier Freeze",CASE (24  1 Each),2,2,18,36
"Gatorade 20oz, Lemon-Lime",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Cherry",CASE (24  1 Each),1,1,18,18
"Gatorade ZERO 20oz, Glacier Freeze",CASE (24  1 Each),1,1,18,18
"Naked 15.2oz, Green Machine",Case (8  1 Each),3,3,18.24,54.72
"Naked 15.2oz, Kale Blazer",Case (8  1 Each),2,2,21.2,42.4
"Naked 15.2oz, Orange Carrot",Case (8  1 Each),2,2,18.24,36.48
"Tropicana 12oz, Apple Juice",CASE (12  1 Each),2,2,15.48,30.96
"Tropicana 12oz, Lemonade",CASE (12  1 Each),2,2,15.48,30.96
"Tropicana 12oz, Orange Juice No Pulp",CASE (12  1 Each),6,6,15.48,92.88
"Tropicana 12oz, Watermelon",CASE (12  1 Each),2,2,15.48,30.96
,,,,,
"1 Liter, Dr Pepper",CASE (12  1 Each),1,1,25.46,25.46
"1 Liter, Pepsi",CASE (12  1 Each),1,1,25.46,25.46
"1.5 Liter, Schweppes Ginger Ale",CASE (12  1 Each),2,2,19.1,38.2
"12oz, Bubly Blackberry 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Bubly Grapefruit 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Bubly Lime 8pks",CASE (3  8 Each),1,1,9,9
"12oz, Diet Pepsi 12packs",CASE (2  1 Each),1,1,9,9
"12oz, Dr Pepper 12packs",CASE (2  1 Each),3,3,9,27
"12oz, Mountain Dew 12packs",CASE (2  1 Each),1,1,9,9
"12oz, Pepsi 12packs",CASE (2  1 Each),3,3,9,27
"20oz, Diet Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Dr. Pepper",CASE (24  1 Each),1,1,19,19
"20oz, Pepsi",CASE (24  1 Each),1,1,19,19
"20oz, Schweppes Ginger Ale",CASE (24  1 Each),1,1,19,19
,,,,,
"Kevita, Mojita",CASE (12  1 Each),1,1,13.5,13.5
"Pure Leaf Cold Brew, Light Sweet Black",CASE (12  1 Each),1,1,19.09,19.09
"Pure Leaf Cold Brew, Tropical Mango",CASE (12  1 Each),1,1,19.09,19.09
"Pure Leaf Tea, Lemon",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Raspberry",CASE (12  1 Each),1,1,14.58,14.58
"Pure Leaf Tea, Sweet",CASE (12  1 Each),2,2,14.58,29.16
"Pure Leaf Tea, Unsweetened Black",CASE (12  1 Each),2,2,14.58,29.16
Aquafina 1 Liter,CASE (12  1 Each),2,2,14.31,28.62
Aquafina 16.9oz,CASE (24  1 Each),2,2,6,12
"Bubly 16oz, Blackberry",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Cherry",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Grapefruit",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Lime",CASE (12  1 Each),1,1,9,9
"Bubly 16oz, Strawberry",CASE (12  1 Each),1,1,9,9
LifeWTR 1 Liter,CASE (12  1 Each),2,2,17,34
LifeWTR 1.5 Liter,CASE (12  1 Each),2,2,21,42
,,,,,
,,,,,
